Doha,موجود في نهاية الممر، بجيب لك شوي الحين. اذا احتجت شي ثاني خبرني.
Doha,تسوي تعديلات؟
Doha,بغينا طاولة يم الدريشة.
Doha,هو ذاك الصوب، بالضبط جدام استعلامات السياح بالضبط.
Doha,ما قط سمعت بهالعنوان في هالمنطقة من قبل.
Doha,امش سيده لين تشوف صيدلية.
Doha,شنو اللون اللي هابين فيه هالفترة؟
Doha,في حالتي انا دايماً حق شغل، نادراً حق استانس.
Doha,بقعد يومين.
Doha,بغيت كيرلي ضيق.
Doha,بغيت احجز غرفتين مزدوجتين.
Doha,ما أبغيه منزوع.
Doha,يوقف هالباص في شارع ستونر؟
Doha,افتح حلجك قد ما تقدر.
Doha,بكم الريوق؟
Doha,شلون اقدر اساعدك؟
Doha,خل ناخذ شي ناكله.
Doha,خذ ثالث لفة يسار.
Doha,ممكن تنظف هالثياب؟
Doha,عطيتك رقم تلفونه وعنوانه.
Doha,دفعت مصاريف الوجبات والفندق مقدم.
Doha,قاعد ادور مطعم مشويات زين وهادي. ممكن تأشر عليهم في الخريطة؟
Doha,اذا كسرته تشتريه.
Doha,بقول لها تكلمك اول ما ترجع.
Doha,بغيت سكر وكريمة في القهوة؟
Doha,هي متعورة واجد.
Doha,بغيت ولاعة.
Doha,في تجهيزات للمؤتمرات في هالفندق؟
Doha,معليه ناكل وجبة خفيفة؟
Doha,انا اتصل من المطار، بكون عندك على الساعة اربع.
